date, pm25, pm10, o3, no2, so2, co
2017/2/13, 243, , 40, 27, 5, 10
2017/2/14, 188, , 51, 26, 4, 23
2017/2/15, 188, , 27, 24, 5, 19
2017/2/16, 195, , 29, 19, 3, 15
2017/2/17, 171, , 15, 26, 4, 12
2017/2/18, 171, , 41, 31, 6, 33
2017/2/19, 206, , 30, 25, 8, 38
2017/2/20, 274, , 21, 16, 4, 37
2017/2/21, 174, , 15, 18, 5, 12
2017/2/22, 197, , 20, 18, 3, 14
2017/2/23, 150, , 25, 18, 2, 23
2017/2/24, 147, , 32, 19, 3, 29
2017/2/25, 145, , 15, 20, 3, 9
2017/2/26, 157, , 23, 21, 3, 29
2017/2/27, 162, , 14, 28, 5, 26
2017/2/28, 241, , 43, 27, 6, 30
2017/3/1, 257, , 23, 26, 8, 9
2017/3/2, 185, , 4, 22, 5, 11
2017/3/3, 148, , 3, 21, 3, 7
2017/3/4, 153, , 22, 22, 3, 8
2017/3/5, 152, , 35, 23, 3, 13
2017/3/6, 156, , 52, 26, 5, 35
2017/3/7, 173, , 71, 19, 6, 28
2017/3/8, 167, , 60, 15, 4, 33
2017/3/9, 157, , 4, 14, 1, 12
2017/3/10, 157, , 19, 13, 3, 15
2017/3/11, 158, , 8, 14, 3, 9
2017/3/12, 140, , 3, 14, 6, 30
2017/3/13, 145, , 5, 19, 4, 15
2017/3/14, 157, , 15, 21, 4, 25
2017/3/15, 223, , 21, 19, 5, 30
2017/3/16, 175, , 5, 16, 3, 9
2017/3/17, 170, , 4, 19, 3, 15
2017/3/18, 164, , 3, 19, 3, 8
2017/3/19, 167, , 12, 21, 2, 25
2017/3/20, 175, , 8, 22, 3, 27
2017/3/21, 166, , 9, 19, 2, 5
2017/3/22, 157, , 8, 24, 3, 40
2017/3/23, 219, , 7, 18, 2, 16
2017/3/24, 176, , 6, 17, 2, 33
2017/3/25, 147, , 63, 19, 1, 37
2017/3/26, 147, , 4, 18, 1, 31
2017/3/27, 160, , 1, 19, 1, 22
2017/3/28, 196, , 5, 15, 1, 18
2017/3/29, 155, , 6, 13, 1, 13
2017/3/30, 145, , 6, 16, 2, 5
2017/3/31, 154, , 11, 21, 3, 11
2016/10/1, 153, , 58, 14, 2, 12
2016/10/2, 135, , 18, 17, 2, 12
2016/10/3, 164, , 9, 13, 3, 33
2016/10/4, 184, , , , , 
2016/10/9, 200, , 31, 7, 3, 42
2016/10/10, 347, , 15, 2, 2, 32
2016/10/11, 190, , 14, 2, 3, 32
2016/10/12, 183, , 10, 11, 3, 20
2016/10/13, 203, , 10, 7, 3, 10
2016/10/14, 180, , 20, 8, 3, 10
2016/10/15, 202, , 8, 7, 3, 11
2016/10/16, 194, , 10, 8, 4, 12
2016/10/17, 206, , 10, 10, 3, 34
2016/10/18, 197, , 8, 13, 12, 39
2016/10/19, 211, , 18, 18, 5, 14
2016/10/20, 210, , 28, 20, 6, 32
2016/10/21, 200, , 22, 17, 5, 13
2016/10/22, 189, , 2, 22, 5, 12
2016/10/23, 227, , 7, 20, 5, 25
2016/10/24, 386, , 26, 18, 6, 39
2016/10/25, 182, , 35, 21, 13, 19
2016/10/26, 224, , 59, 26, 11, 41
2016/10/27, 368, , 48, 27, 10, 49
2016/10/28, 336, , 45, 29, 21, 20
2016/10/29, 341, , 40, 22, 15, 20
2016/10/30, 362, , 46, 25, 25, 30
2016/10/31, 397, , 56, 27, 14, 34
2016/11/1, 434, , 88, 34, 12, 38
2016/11/2, 368, , 41, 26, 17, 19
2016/11/3, 441, , 43, 26, 13, 17
2016/11/4, 577, , 35, 31, 9, 41
2016/11/5, 676, , 23, 34, 9, 26
2016/11/6, 570, , 2, 32, 7, 
2016/11/8, 322, , 43, 31, 7, 
2016/11/9, 528, , 36, 48, 21, 17
2016/11/10, 568, , 42, 41, 15, 37
2016/11/11, 398, , 46, 37, 14, 39
2016/11/12, 387, , 39, 35, 15, 33
2016/11/13, 314, , 41, 32, 15, 34
2016/11/14, 296, , 32, 34, 17, 25
2016/11/15, 376, , 38, 36, 12, 37
2016/11/16, 379, , 44, 31, 11, 14
2016/11/17, 290, , 44, 29, 6, 30
2016/11/18, 261, , 55, 39, 12, 23
2016/11/19, 477, , 49, 34, 11, 27
2016/11/20, 377, , 54, 33, 15, 45
2016/11/21, 428, , 32, 25, 9, 17
2016/11/22, 197, , 55, 26, 4, 12
2016/11/23, 199, , 40, 39, 10, 32
2016/11/24, 263, , 27, 24, 6, 27
2016/11/25, 178, , 35, 23, 8, 10
2016/11/26, 165, , 27, 24, 6, 12
2016/11/27, 169, , 59, 28, 7, 27
2016/11/28, 170, , 53, 57, 24, 41
2016/11/29, 349, , 19, 32, 5, 41
2016/11/30, 319, , 18, 33, 12, 47
2016/12/1, 398, , 16, 37, 10, 23
2016/12/2, 379, , 19, 29, 7, 40
2016/12/3, 323, , 19, 19, 9, 141
2016/12/4, 264, , 38, 36, 11, 40
2016/12/5, 272, , 23, 29, 6, 22
2016/12/6, 400, , 25, 30, 6, 17
2016/12/7, 364, , 32, 23, 16, 44
2016/12/8, 366, , 19, 39, 21, 23
2016/12/9, 446, , 11, 17, 7, 19
2016/12/10, 270, , 20, 20, 8, 9
2016/12/11, 355, , 33, 20, 9, 16
2016/12/12, 272, , 32, 21, 12, 18
2016/12/13, 259, , 25, 21, 6, 28
2016/12/14, 234, , 35, 23, 4, 29
2016/12/15, 218, , 44, 27, 7, 28
2016/12/16, 315, , 28, 31, 10, 11
2016/12/17, 305, , 2, 17, 7, 13
2016/12/18, 467, , 42, 32, 6, 10
2016/12/19, 298, , 35, 24, 5, 5
2016/12/20, 302, , 37, 21, 3, 26
2016/12/21, 216, , 35, 27, 8, 27
2016/12/22, 278, , 51, 38, 12, 49
2016/12/23, 630, , 36, 34, 9, 38
2016/12/24, 457, , 29, 16, 4, 34
2016/12/25, 321, , 34, 22, 3, 37
2016/12/26, 207, , 34, 24, 3, 35
2016/12/27, 248, , 36, 26, 7, 42
2016/12/28, 405, , 21, 19, 5, 42
2016/12/29, 325, , 73, 16, 2, 37
2016/12/30, 254, , 16, 15, 4, 41
2016/12/31, 255, , 23, 14, 4, 39
2017/1/1, 266, , 32, 17, 6, 30
2016/7/1, 128, , 13, 18, 1, 9
2016/7/2, 111, , 11, 6, 1, 24
2016/7/3, 116, , 11, 6, 1, 28
2016/7/4, 142, , 16, 13, 1, 8
2016/7/5, 151, , 14, 11, 1, 22
2016/7/6, 150, , 10, 14, 1, 7
2016/7/7, 113, , 9, 13, 2, 8
2016/7/8, 149, , 10, 17, 1, 5
2016/7/9, 112, , 11, 12, , 7
2016/7/10, 153, , 10, 14, 1, 7
2016/7/11, 139, , 9, 9, 1, 5
2016/7/12, 213, , 9, 14, 2, 5
2016/7/13, 118, , 21, 15, 1, 5
2016/7/14, 127, , 9, 11, 1, 19
2016/7/15, 132, , 9, 20, 1, 7
2016/7/16, 188, , 22, 12, 2, 6
2016/7/17, 117, , 8, 10, 2, 6
2016/7/18, 113, , 8, 11, 2, 28
2016/7/19, 124, , 19, 7, 3, 24
2016/7/20, 134, , 8, 8, 3, 30
2016/7/21, 128, , 9, 6, 1, 6
2016/7/22, 146, , 11, 2, 1, 30
2016/7/23, 116, , , , , 
2016/7/25, 205, , 8, 6, 1, 5
2016/7/26, 156, , 8, 12, 1, 7
2016/7/27, 120, , 8, 9, 2, 8
2016/7/28, 128, , 16, 12, 20, 11
2016/7/29, 118, , 15, 8, 25, 11
2016/7/30, 86, , 12, 6, 10, 27
2016/7/31, 117, , 11, 5, 1, 13
2016/8/1, 196, , 13, 7, 1, 30
2016/8/2, 112, , 8, 8, 1, 14
2016/8/3, 103, , 9, 4, 2, 12
2016/8/4, 124, , 9, 12, 2, 21
2016/8/5, 147, , 10, 9, 6, 41
2016/8/6, 291, , 12, 6, 3, 12
2016/8/7, 87, , 16, 6, 5, 37
2016/8/8, 99, , 15, 6, 10, 10
2016/8/9, 95, , 18, 7, 1, 13
2016/8/10, 91, , 17, 5, 1, 12
2016/8/11, 77, , 11, 11, 2, 17
2016/8/12, 100, , 15, 16, 2, 42
2016/8/13, 133, , 11, 12, 1, 31
2016/8/14, 133, , 46, 9, 2, 88
2016/8/15, 125, , 12, 12, 1, 28
2016/8/16, 109, , 11, 13, 2, 41
2016/8/17, 128, , 10, 11, 1, 36
2016/8/18, 119, , 20, 15, 2, 46
2016/8/19, 137, , 14, 7, 3, 30
2016/8/20, 110, , 34, 6, 4, 15
2016/8/21, 82, , 22, 7, 3, 26
2016/8/22, 88, , 15, 10, 1, 36
2016/8/23, 120, , 15, 8, 2, 12
2016/8/24, 109, , 8, 9, 1, 8
2016/8/25, 115, , 10, 13, 2, 9
2016/8/26, 138, , 8, 14, 3, 14
2016/8/27, 114, , 8, 10, 3, 16
2016/8/28, 123, , 8, 18, 3, 18
2016/8/29, 129, , 9, 9, 3, 19
2016/8/30, 120, , 9, 12, 2, 17
2016/8/31, 94, , 12, 11, 2, 26
2016/9/1, 83, , 22, 11, 10, 24
2016/9/2, 122, , 22, 14, 7, 22
2016/9/3, 142, , 16, 10, 6, 26
2016/9/4, 132, , 20, 10, 7, 24
2016/9/5, 138, , 17, 12, 3, 21
2016/9/6, 138, , 27, 14, 5, 20
2016/9/7, 200, , 11, 13, 1, 5
2016/9/8, 257, , 25, 14, 4, 46
2016/9/9, 118, , 18, 15, 10, 15
2016/9/10, 110, , 26, 13, 11, 23
2016/9/11, 93, , 47, 15, 2, 3
2016/9/12, 107, , 18, 18, 2, 20
2016/9/13, 148, , 24, 11, 1, 31
2016/9/14, 110, , 17, 21, 2, 23
2016/9/15, 166, , 17, 23, 2, 9
2016/9/16, 163, , 24, 22, 2, 24
2016/9/17, 177, , 20, 14, 1, 24
2016/9/18, 166, , 18, 15, 2, 26
2016/9/19, 158, , 18, 18, 1, 6
2016/9/20, 173, , 17, 11, 1, 25
2016/9/21, 157, , 18, 8, 1, 19
2016/9/22, 99, , 15, 11, 2, 3
2016/9/23, 119, , 18, 10, 3, 21
2016/9/24, 129, , 15, 13, 2, 3
2016/9/25, 131, , 18, 14, 3, 22
2016/9/26, 152, , 22, 15, 3, 22
2016/9/27, 149, , 29, 18, 4, 24
2016/9/28, 177, , 19, 11, 2, 25
2016/9/29, 162, , 19, 18, 3, 35
2016/9/30, 159, , 18, 14, 2, 28
2016/4/1, 207, , 21, 21, 15, 11
2016/4/2, 165, , 38, 19, 15, 13
2016/4/3, 181, , 8, 20, 15, 13
2016/4/4, 197, , , , , 
2016/4/8, 148, , 12, 21, 16, 15
2016/4/9, 216, , 25, 11, 14, 7
2016/4/10, 154, , 20, 7, 13, 6
2016/4/11, 157, , 22, 6, 13, 7
2016/4/12, 146, , 34, 9, 14, 9
2016/4/13, 153, , 20, 14, 14, 11
2016/4/14, 167, , 22, 20, 16, 32
2016/4/15, 186, , 24, 19, 15, 12
2016/4/16, 181, , 11, 10, 14, 25
2016/4/17, 164, , 10, 12, 14, 9
2016/4/18, 171, , 10, 16, 15, 14
2016/4/19, 198, , 19, 12, 14, 8
2016/4/20, 158, , 21, 4, 13, 10
2016/4/21, 153, , 10, 19, 15, 10
2016/4/22, 186, , , , , 
2016/4/24, 156, , 23, 36, 5, 8
2016/4/25, 187, , 13, 52, 7, 14
2016/4/26, 241, , 10, 51, 7, 19
2016/4/27, 232, , 19, 45, 6, 32
2016/4/28, 269, , 18, 47, 7, 17
2016/4/29, 404, , 36, 42, 8, 20
2016/4/30, 297, , 32, 36, 4, 15
2016/5/1, 541, , 16, 34, 3, 12
2016/5/2, 214, , 17, 25, 4, 9
2016/5/3, 256, , 14, 19, 2, 9
2016/5/4, 181, , 18, 16, 3, 8
2016/5/5, 171, , 9, 20, 2, 8
2016/5/6, 133, , 25, 20, 3, 13
2016/5/7, 228, , 29, 14, 1, 10
2016/5/8, 170, , 18, 11, 1, 9
2016/5/9, 168, , 18, 11, 1, 12
2016/5/10, 168, , 24, 11, 1, 25
2016/5/11, 133, , 16, 18, 1, 28
2016/5/12, 169, , 13, 19, 2, 11
2016/5/13, 159, , 27, 23, 2, 12
2016/5/14, 169, , 111, 26, 2, 14
2016/5/15, 202, , 55, 23, 2, 26
2016/5/16, 153, , 26, 24, 2, 5
2016/5/17, 133, , 25, 31, 2, 7
2016/5/18, 153, , 25, 16, 1, 5
2016/5/19, 172, , 17, 11, 1, 21
2016/5/20, 152, , 35, 10, 2, 6
2016/5/21, 155, , 75, 11, 3, 4
2016/5/22, 146, , 19, 13, 2, 5
2016/5/23, 144, , 10, 19, 2, 3
2016/5/24, 126, , 12, 26, 2, 6
2016/5/25, 163, , 11, 22, 3, 7
2016/5/26, 168, , 18, 23, 2, 23
2016/5/27, 192, , 9, 20, 2, 5
2016/5/28, 169, , 55, 10, 2, 18
2016/5/29, 117, , 76, 21, 2, 4
2016/5/30, 137, , 13, 23, 3, 5
2016/5/31, 168, , 17, 20, 4, 4
2016/6/1, 143, , 19, 21, 2, 22
2016/6/2, 183, , 32, 34, 5, 9
2016/6/3, 201, , 41, 28, 5, 10
2016/6/4, 193, , 26, 9, 2, 5
2016/6/5, 161, , 38, 11, 2, 22
2016/6/6, 168, , 22, 12, 2, 3
2016/6/7, 153, , 27, 14, 3, 20
2016/6/8, 156, , 17, 16, 2, 4
2016/6/9, 151, , 17, 17, 3, 24
2016/6/10, 151, , 23, 22, 4, 7
2016/6/11, 140, , 20, 16, 2, 6
2016/6/12, 129, , 10, 19, 4, 6
2016/6/13, 187, , 25, 13, 3, 3
2016/6/14, 127, , 11, 6, 5, 4
2016/6/15, 165, , 11, 7, 1, 3
2016/6/16, 131, , 33, 10, , 3
2016/6/17, 138, , 14, 9, 1, 6
2016/6/18, 156, , 15, 6, 1, 22
2016/6/19, 139, , 17, 10, 1, 9
2016/6/20, 137, , 10, 8, 1, 7
2016/6/21, 113, , 12, 8, 1, 6
2016/6/22, 118, , 10, 11, 1, 8
2016/6/23, 129, , 14, 14, 1, 9
2016/6/24, 207, , 37, 7, , 7
2016/6/25, 165, , 13, 6, , 8
2016/6/26, 146, , 40, 10, 1, 8
2016/6/27, 157, , 32, 11, 1, 6
2016/6/28, 117, , 11, 10, 3, 23
2016/6/29, 110, , 26, 12, 4, 5
2016/6/30, 137, , 12, 5, , 2
2016/1/4, 409, , 15, 37, , 
2016/1/5, 376, , 23, 24, , 
2016/1/6, 389, , 9, 38, , 
2016/1/7, 335, , , , , 
2016/1/11, 276, , 3, 20, , 
2016/1/12, 362, , , , , 
2016/1/14, 306, , 8, 23, , 
2016/1/15, 221, , 8, 17, , 
2016/1/16, 205, , , , , 
2016/1/22, 331, , 10, 33, 12, 
2016/1/23, 308, , 6, 34, 4, 
2016/1/24, 428, , 40, 34, 4, 
2016/1/25, 333, , 10, 27, 4, 
2016/1/26, 391, , 12, 28, 5, 
2016/1/27, 331, , 14, 29, 7, 
2016/1/28, 368, , 9, 38, 5, 
2016/1/29, 381, , 11, 27, 12, 
2016/1/30, 364, , 13, 31, 23, 
2016/1/31, 296, , 16, 33, 20, 
2016/2/1, 190, , 16, 39, 16, 
2016/2/2, 202, , 25, 32, 13, 
2016/2/3, 182, , 18, 25, 12, 
2016/2/4, 174, , 28, 45, 12, 
2016/2/5, 237, , 38, 35, 15, 
2016/2/6, 283, , 15, 26, 16, 
2016/2/7, 210, , 35, 28, 11, 
2016/2/8, 178, , 5, 28, 10, 
2016/2/9, 206, , 5, 30, 17, 
2016/2/10, 246, , 5, 26, 10, 
2016/2/11, 208, , 10, 30, 11, 
2016/2/12, 216, , 14, 28, 12, 
2016/2/13, 180, , 11, 29, 13, 
2016/2/14, 175, , 42, 39, 16, 
2016/2/15, 178, , 5, 44, 12, 
2016/2/16, 185, , 5, 54, 20, 
2016/2/17, 185, , 5, 45, 11, 
2016/2/18, 195, , 8, 44, 14, 
2016/2/19, 217, , 6, 30, 19, 
2016/2/20, 200, , 20, 10, 26, 
2016/2/21, 282, , 30, 10, 17, 
2016/2/22, 174, , 21, 26, 15, 
2016/2/23, 148, , 6, 39, 19, 
2016/2/24, 208, , 28, 23, 15, 
2016/2/25, 181, , 18, 14, 14, 
2016/2/26, 181, , 21, 30, 13, 
2016/2/27, 173, , 41, 21, 15, 
2016/2/28, 221, , 20, 19, 12, 
2016/2/29, 273, , , , , 
2016/3/17, 142, , 29, 18, 14, 10
2016/3/18, 143, , 49, 12, 13, 8
2016/3/19, 152, , 25, 18, 15, 12
2016/3/20, 182, , 13, 12, 14, 6
2016/3/21, 125, , 11, 3, 13, 5
2016/3/22, 96, , 8, 11, 14, 24
2016/3/23, 126, , 8, 25, 16, 21
2016/3/24, 258, , 8, 15, 13, 28
2016/3/25, 223, , 16, 16, 14, 9
2016/3/26, 144, , 8, 15, 14, 
2016/3/27, 158, , 24, 15, 13, 7
2016/3/28, 127, , 29, 16, 13, 8
2016/3/29, 154, , 34, 27, 15, 27
2016/3/30, 174, , 33, 29, 17, 18
2016/3/31, 230, , 15, 26, 14, 10
2015/10/1, 150, , 25, 24, 2, 
2015/10/2, 145, , 20, 22, 2, 
2015/10/3, 154, , 15, 27, 3, 
2015/10/4, 161, , 31, 31, 5, 
2015/10/5, 183, , 28, 30, 4, 
2015/10/6, 169, , 22, 34, 3, 
2015/10/7, 185, , 7, 30, 3, 
2015/10/8, 174, , 20, 32, 3, 
2015/10/9, 158, , 42, 28, 5, 
2015/10/10, 154, , 35, 21, 3, 
2015/10/11, 159, , 34, 23, 3, 
2015/10/12, 146, , 25, 16, 3, 
2015/10/13, 160, , 29, 10, 3, 
2015/10/14, 152, , 71, 24, 3, 
2015/10/15, 162, , 17, 27, 3, 
2015/10/16, 194, , 12, 27, 4, 
2015/10/17, 228, , 23, 26, 4, 
2015/10/18, 213, , 17, 26, 3, 
2015/10/19, 211, , 16, 41, 8, 
2015/10/20, 286, , 27, 40, 5, 
2015/10/21, 217, , 2, 39, 5, 
2015/10/22, 175, , 11, 41, 4, 
2015/10/23, 187, , 22, 37, 4, 
2015/10/24, 195, , 18, 18, 11, 
2015/10/25, 187, , 48, 25, 3, 
2015/10/26, 228, , 22, 41, 3, 
2015/10/27, 179, , 16, 28, 2, 
2015/10/28, 159, , 18, 25, 3, 46
2015/10/29, 141, , 19, 27, 15, 
2015/10/30, 243, , 24, 45, 4, 
2015/10/31, 326, , 30, 41, 4, 
2015/11/1, 300, , 14, 35, 3, 
2015/11/2, 231, , 21, 41, 4, 
2015/11/3, 281, , 9, 34, 12, 
2015/11/4, 302, , 12, 21, 3, 
2015/11/5, 210, , 18, 41, 5, 
2015/11/6, 268, , 24, 43, 3, 
2015/11/7, 342, , 10, 31, 3, 
2015/11/8, 266, , 6, 30, 3, 
2015/11/9, 219, , 7, 43, 5, 
2015/11/10, 280, , 5, 28, 3, 
2015/11/11, 293, , 4, 22, 3, 
2015/11/12, 331, , 4, 31, 3, 
2015/11/13, 312, , 4, 28, 2, 
2015/11/14, 270, , 11, 35, 4, 
2015/11/15, 234, , 21, 32, 4, 
2015/11/16, 207, , 17, 15, 3, 
2015/11/17, 186, , 35, 18, 13, 
2015/11/18, 222, , 5, 24, 6, 
2015/11/19, 302, , 20, 23, 5, 
2015/11/20, 340, , 19, 23, 14, 
2015/11/21, 383, , 25, 24, 14, 
2015/11/22, 315, , 17, 28, 6, 
2015/11/23, 313, , 18, 29, 3, 
2015/11/24, 267, , 19, 20, 1, 
2015/11/25, 183, , 24, 22, 3, 
2015/11/26, 216, , 7, 29, 5, 
2015/11/27, 267, , 2, 15, 1, 
2015/11/28, 259, , 17, 15, 2, 
2015/11/29, 305, , 27, 16, 3, 
2015/11/30, 302, , 6, 18, 3, 
2015/12/1, 244, , 2, 32, 6, 
2015/12/2, 236, , 2, 29, 3, 
2015/12/3, 234, , 5, 31, 3, 
2015/12/4, 213, , 2, 38, 6, 
2015/12/5, 369, , , , , 
2015/12/7, 400, , 16, 31, 5, 
2015/12/8, 353, , 31, 23, 2, 
2015/12/9, 288, , 15, 23, 3, 
2015/12/10, 265, , 15, 19, 3, 
2015/12/11, 253, , 5, 22, 3, 
2015/12/12, 252, , 21, 27, 4, 
2015/12/13, 173, , 22, 29, 4, 
2015/12/14, 181, , 21, 30, 4, 
2015/12/15, 185, , 16, 35, 9, 
2015/12/16, 241, , 12, 24, 5, 
2015/12/17, 283, , 22, 30, 5, 
2015/12/18, 291, , 16, 31, 4, 
2015/12/19, 282, , 26, 37, 7, 
2015/12/20, 326, , 33, 30, 5, 
2015/12/21, 313, , 12, 31, 6, 
2015/12/22, 372, , , , , 
2015/12/24, 207, , 23, 29, , 
2015/12/25, 198, , 22, 31, , 
2015/12/26, 236, , 17, 30, , 
2015/12/27, 250, , 36, 24, , 
2015/12/28, 197, , 21, 23, , 
2015/12/29, 186, , 18, 35, , 
2015/12/30, 244, , , , , 
2015/7/1, 93, , 27, 9, 2, 6
2015/7/2, 149, , 31, 16, 3, 7
2015/7/3, 93, , 16, 11, 1, 20
2015/7/4, 135, , 12, 10, 1, 6
2015/7/5, 166, , 12, 9, 1, 7
2015/7/6, 44, , 13, 7, 2, 10
2015/7/7, 81, , 11, 8, 1, 59
2015/7/8, 109, , 6, 6, 2, 20
2015/7/9, 118, , 7, 4, 1, 11
2015/7/10, 78, , 6, 16, 2, 6
2015/7/11, 58, , 25, 11, 2, 5
2015/7/12, 90, , 12, 13, 2, 7
2015/7/13, 113, , 7, 6, 2, 6
2015/7/14, 107, , 8, 16, 2, 5
2015/7/15, 117, , 7, 8, 2, 13
2015/7/16, 142, , 6, 4, 2, 6
2015/7/17, 127, , 7, 5, 2, 6
2015/7/18, 108, , 32, 7, 3, 6
2015/7/19, 126, , 23, 16, 2, 6
2015/7/20, 70, , 9, 6, 2, 5
2015/7/21, 75, , 7, 3, 2, 5
2015/7/22, 75, , 24, 4, 2, 19
2015/7/23, 72, , 24, 4, 2, 4
2015/7/24, 85, , 11, 4, 2, 5
2015/7/25, 82, , 8, 9, 2, 5
2015/7/26, 82, , 6, 4, 2, 20
2015/7/27, 41, , 7, 5, 2, 18
2015/7/28, 46, , 24, 4, 1, 4
2015/7/29, 54, , 6, 8, 1, 5
2015/7/30, 51, , 4, 8, 2, 5
2015/7/31, 79, , 4, 9, 2, 19
2015/8/1, 81, , 21, 4, 2, 21
2015/8/2, 87, , 5, 4, 2, 5
2015/8/3, 90, , 8, 8, 1, 20
2015/8/4, 90, , 5, 5, 1, 6
2015/8/5, 91, , 20, 7, 2, 8
2015/8/6, 111, , 5, 9, 2, 5
2015/8/7, 96, , 8, 5, 2, 22
2015/8/8, 103, , 5, 8, 1, 6
2015/8/9, 113, , 23, 14, 2, 24
2015/8/10, 142, , 21, 9, 2, 8
2015/8/11, 108, , 5, 7, 1, 5
2015/8/12, 68, , 6, 12, 2, 7
2015/8/13, 134, , 5, 8, 2, 6
2015/8/14, 94, , 20, 3, 2, 21
2015/8/15, 283, , 21, 20, 2, 23
2015/8/16, 112, , 5, 12, 2, 25
2015/8/17, 117, , 7, 10, 2, 6
2015/8/18, 108, , 5, 9, 1, 22
2015/8/19, 81, , 14, 11, 1, 5
2015/8/20, 84, , 4, 7, 2, 6
2015/8/21, 115, , 4, 8, 1, 5
2015/8/22, 113, , 4, 3, 2, 22
2015/8/23, 106, , 5, 12, 1, 6
2015/8/24, 99, , 21, 13, 2, 6
2015/8/25, 100, , 21, 7, 2, 6
2015/8/26, 108, , 8, 12, 2, 29
2015/8/27, 118, , 5, 14, 2, 40
2015/8/28, 146, , 8, 8, 2, 34
2015/8/29, 120, , 5, 6, 2, 8
2015/8/30, 116, , 6, 17, 1, 24
2015/8/31, 99, , 6, 11, 2, 25
2015/9/1, 126, , 24, 11, 1, 8
2015/9/2, 147, , 9, 14, 2, 6
2015/9/3, 150, , 12, 16, 2, 9
2015/9/4, 138, , 16, 19, 2, 28
2015/9/5, 128, , 17, 20, 14, 34
2015/9/6, 119, , 14, 20, 2, 7
2015/9/7, 111, , 16, 18, 1, 10
2015/9/8, 152, , 21, 16, , 7
2015/9/9, 124, , 20, 16, 1, 18
2015/9/10, 128, , 9, 43, , 48
2015/9/11, 148, , 18, 13, 17, 21
2015/9/12, 159, , 4, 10, 29, 6
2015/9/13, 253, , , 22, , 
2015/9/15, 139, , 16, 8, 11, 114
2015/9/16, 159, , 11, 7, 7, 
2015/9/17, 166, , 12, 7, 4, 100
2015/9/18, 97, , 30, 11, 4, 237
2015/9/19, 125, , 8, 13, 3, 329
2015/9/20, 126, , 10, 7, 3, 216
2015/9/21, 92, , 11, 11, 2, 252
2015/9/22, 68, , 20, 9, 3, 207
2015/9/23, 64, , 16, 13, 3, 
2015/9/24, 100, , 9, 21, 4, 
2015/9/25, 131, , 13, 17, 4, 
2015/9/26, 128, , 10, 16, 5, 
2015/9/27, 139, , 22, 22, 2, 
2015/9/28, 135, , 22, 23, 3, 
2015/9/29, 169, , 23, 21, 2, 
2015/9/30, 125, , 29, 26, 3, 
2015/5/20, 95, 21, 24, 11, 2, 7
2015/5/21, 190, , 20, 29, 3, 8
2015/5/22, 105, , 35, 12, 1, 3
2015/5/23, 118, , 21, 17, 1, 4
2015/5/24, 145, , 23, 14, 2, 4
2015/5/25, 141, , 15, 18, 9, 5
2015/5/26, 144, , 13, 16, 2, 64
2015/5/27, 119, , 34, 24, 1, 5
2015/5/28, 171, , 38, 15, 4, 6
2015/5/29, 149, , 33, 15, 5, 5
2015/5/30, 117, , 30, 8, , 4
2015/5/31, 126, , 31, 6, 1, 5
2015/6/1, 120, , 21, 18, 2, 4
2015/6/2, 72, , 34, 16, 2, 3
2015/6/3, 113, , 20, 24, 2, 4
2015/6/4, 133, , 42, 21, 2, 6
2015/6/5, 157, , 21, 27, 3, 9
2015/6/6, 171, , 7, 26, 2, 9
2015/6/7, 158, , 28, 26, 3, 8
2015/6/8, 154, , 52, 20, 2, 7
2015/6/9, 153, , 28, 23, 1, 7
2015/6/10, 103, , 35, 7, 1, 4
2015/6/11, 128, , 19, 9, 1, 4
2015/6/12, 97, , 36, 10, 1, 4
2015/6/13, 270, , 17, 20, 2, 23
2015/6/14, 118, , 9, 16, 1, 25
2015/6/15, 164, , 37, 23, 2, 10
2015/6/16, 161, , 25, 25, 2, 9
2015/6/17, 163, , 25, 28, 3, 9
2015/6/18, 183, , 43, 23, 3, 9
2015/6/19, 149, , 28, 9, 1, 9
2015/6/20, 104, , 30, 8, 1, 5
2015/6/21, 80, , 33, 10, 1, 6
2015/6/22, 95, , 13, 12, 7, 24
2015/6/23, 119, , 15, 18, 1, 8
2015/6/24, 152, , 13, 18, 2, 14
2015/6/25, 87, , 27, 14, 1, 22
2015/6/26, 161, , 19, 11, 2, 22
2015/6/27, 151, , 17, 11, 1, 21
2015/6/28, 139, , 36, 11, 2, 22
2015/6/29, 115, , 22, 7, 1, 27
2015/6/30, 173, , 19, 9, 2, 5
2015/4/1, , 81, 25, 4, 4, 3
2015/4/4, , 50, 37, 14, 6, 5
2015/4/5, , 170, 37, 29, 4, 10
2015/4/6, , 215, 43, 31, 7, 13
2015/4/7, , 122, 30, 18, 11, 8
2015/4/8, , 136, 41, 27, 17, 7
2015/4/9, , 214, 34, 23, 6, 6
2015/4/10, , 121, 18, 25, 6, 8
2015/4/11, , 177, 1, 53, 6, 15
2015/4/12, , 90, 10, 26, 2, 
2015/4/13, , 76, 15, 25, 1, 9
2015/4/14, , 97, 29, 18, 7, 9
2015/4/15, , 198, 32, 17, 7, 10
2015/4/16, , 55, 29, 20, 9, 9
2015/4/17, , 44, 34, 23, 6, 9
2015/4/18, , 76, 37, 41, 10, 10
2015/4/19, , 82, 48, 44, 11, 16
2015/4/20, , 78, 34, 20, 8, 12
2015/4/21, , 72, 40, 26, 11, 10
2015/4/22, , 58, 38, 29, 8, 8
2015/4/23, , 79, 49, 44, 17, 16
