date, pm25, pm10, o3, no2, so2, co
2018/9/25, 100, , 19, 22, 1, 
2018/9/26, 144, , 30, 53, 2, 
2018/9/27, 158, , 2, 52, 4, 
2018/9/28, 396, , , , , 
2018/9/30, 135, , 34, 30, 1, 
2018/4/1, 156, , 49, 21, 5, 
2018/4/2, 168, , 48, 21, 6, 
2018/4/3, 180, , 58, 21, 8, 
2018/4/4, 186, , 65, 26, 10, 
2018/4/5, 216, , 43, 23, 10, 
2018/4/6, 238, , 39, 57, 7, 
2018/4/7, 111, , , 21, 6, 
2018/4/8, 132, , 45, 21, 4, 
2018/4/9, 122, , 42, 20, 11, 
2018/4/10, 185, , 29, 19, 3, 
2018/4/11, 184, , 41, 21, 12, 
2018/4/12, 106, , 39, 25, 8, 
2018/4/13, 131, , 52, 28, 9, 
2018/4/14, 139, , 48, 28, 8, 
2018/4/15, 153, , 37, 29, 17, 
2018/4/16, 180, , 34, 26, 9, 
2018/4/17, 146, , 33, 31, 6, 
2018/4/18, 132, , 34, 35, 8, 
2018/4/19, 160, , 31, 35, 12, 
2018/4/20, 164, , 36, 34, 7, 
2018/4/21, 203, , 38, 39, 11, 
2018/4/22, 130, , 42, 40, 7, 
2018/4/23, 154, , 57, 45, 11, 
2018/4/24, 279, , 37, 52, 10, 
2018/4/25, 152, , 81, 48, 17, 
2018/4/26, 199, , 24, 43, 8, 31
2018/4/27, 179, , 30, 35, 6, 31
2018/4/28, 160, , 47, 33, 9, 31
2018/4/29, 163, , 55, 32, 8, 
2018/4/30, 168, , 33, 29, 4, 
2018/5/1, 140, , 34, 28, 5, 
2018/5/2, 209, , 25, 25, 5, 
2018/5/3, 110, , 51, 25, 7, 
2018/5/4, 109, , 59, 31, 7, 
2018/5/5, 149, , 35, 34, 7, 
2018/5/6, 157, , 42, 34, 9, 
2018/5/7, 163, , 38, 33, 6, 
2018/5/8, 165, , 54, 30, 11, 
2018/5/9, 135, , 62, 32, 6, 
2018/5/10, 179, , 55, 35, 11, 
2018/5/11, 198, , 53, 28, 14, 
2018/5/12, 216, , 67, 16, 1, 
2018/5/13, 177, , 32, 36, 4, 
